,time,ReflectionCoefficientPhase
0,2024-03-14 08:37:33.476024+00:00,287.467698
1,2024-03-14 08:37:33.609630+00:00,287.886505
2,2024-03-14 08:37:33.676450+00:00,288.288709
3,2024-03-14 08:37:33.776540+00:00,287.816871
4,2024-03-14 08:37:33.876161+00:00,287.573634
5,2024-03-14 08:37:33.975947+00:00,287.033931
6,2024-03-14 08:37:34.075927+00:00,287.531132
7,2024-03-14 08:37:34.175849+00:00,288.028624
8,2024-03-14 08:37:34.275825+00:00,287.950547
9,2024-03-14 08:37:34.376162+00:00,288.360666
10,2024-03-14 08:37:34.476982+00:00,287.614641
11,2024-03-14 08:37:34.576196+00:00,288.217563
12,2024-03-14 08:37:34.676625+00:00,286.805892
13,2024-03-14 08:37:34.776304+00:00,287.758855
14,2024-03-14 08:37:34.875882+00:00,286.935096
15,2024-03-14 08:37:34.976222+00:00,288.35839
16,2024-03-14 08:37:35.076149+00:00,287.588268
17,2024-03-14 08:37:35.176191+00:00,288.468618
18,2024-03-14 08:37:35.276461+00:00,288.097834
19,2024-03-14 08:37:35.376296+00:00,287.010637
20,2024-03-14 08:37:35.476071+00:00,286.8394
21,2024-03-14 08:37:35.576038+00:00,287.386735
22,2024-03-14 08:37:35.675822+00:00,288.09631
23,2024-03-14 08:37:35.776273+00:00,287.393599
24,2024-03-14 08:37:35.876268+00:00,287.086015
25,2024-03-14 08:37:35.976261+00:00,287.41634
26,2024-03-14 08:37:36.076359+00:00,287.403505
27,2024-03-14 08:37:36.175672+00:00,287.243206
28,2024-03-14 08:37:36.276025+00:00,288.033167
29,2024-03-14 08:37:36.376074+00:00,288.546618
30,2024-03-14 08:37:36.476059+00:00,287.571993
31,2024-03-14 08:37:36.576055+00:00,287.654958
32,2024-03-14 08:37:36.676038+00:00,288.480544
33,2024-03-14 08:37:36.775762+00:00,287.221591
34,2024-03-14 08:37:36.876056+00:00,288.105338
35,2024-03-14 08:37:36.975665+00:00,287.674994
36,2024-03-14 08:37:37.075425+00:00,288.405324
37,2024-03-14 08:37:37.175793+00:00,288.208266
38,2024-03-14 08:37:37.276149+00:00,288.736826
39,2024-03-14 08:37:37.375927+00:00,288.133107
40,2024-03-14 08:37:37.476100+00:00,287.310401
41,2024-03-14 08:37:37.575939+00:00,288.407072
42,2024-03-14 08:37:37.676291+00:00,287.511101
43,2024-03-14 08:37:37.776024+00:00,288.79687
44,2024-03-14 08:37:37.876296+00:00,288.914955
45,2024-03-14 08:37:37.976014+00:00,288.777531
46,2024-03-14 08:37:38.075805+00:00,286.751874
47,2024-03-14 08:37:38.176147+00:00,287.189665
48,2024-03-14 08:37:38.276641+00:00,287.879105
49,2024-03-14 08:37:38.375817+00:00,288.266295
50,2024-03-14 08:37:38.475896+00:00,288.182998
51,2024-03-14 08:37:38.575712+00:00,287.929702
52,2024-03-14 08:37:38.676205+00:00,288.64001
53,2024-03-14 08:37:38.776586+00:00,288.297064
54,2024-03-14 08:37:38.875430+00:00,287.637959
55,2024-03-14 08:37:38.976443+00:00,288.011092
56,2024-03-14 08:37:39.076192+00:00,287.894534
57,2024-03-14 08:37:39.176116+00:00,288.698343
58,2024-03-14 08:37:39.276516+00:00,287.938351
59,2024-03-14 08:37:39.376264+00:00,288.364495
60,2024-03-14 08:37:39.475909+00:00,289.217346
61,2024-03-14 08:37:39.575732+00:00,288.684634
62,2024-03-14 08:37:39.676666+00:00,287.383675
63,2024-03-14 08:37:39.775895+00:00,287.751704
64,2024-03-14 08:37:39.875735+00:00,288.353877
65,2024-03-14 08:37:39.975700+00:00,288.231594
66,2024-03-14 08:37:40.076103+00:00,288.04861
67,2024-03-14 08:37:40.175873+00:00,288.707921
68,2024-03-14 08:37:40.276207+00:00,286.778857
69,2024-03-14 08:37:40.375723+00:00,287.810024
70,2024-03-14 08:37:40.475577+00:00,288.378402
71,2024-03-14 08:37:40.576463+00:00,287.108334
72,2024-03-14 08:37:40.675531+00:00,286.840489
73,2024-03-14 08:37:40.775830+00:00,287.92316
74,2024-03-14 08:37:40.876442+00:00,286.038404
75,2024-03-14 08:37:40.976054+00:00,288.180102
76,2024-03-14 08:37:41.076097+00:00,288.155115
77,2024-03-14 08:37:41.176232+00:00,288.289988
78,2024-03-14 08:37:41.275648+00:00,288.318886
79,2024-03-14 08:37:41.375537+00:00,288.690713
80,2024-03-14 08:37:41.475951+00:00,287.938394
81,2024-03-14 08:37:41.576018+00:00,287.690542
82,2024-03-14 08:37:41.676468+00:00,287.22042
83,2024-03-14 08:37:41.776040+00:00,286.893534
84,2024-03-14 08:37:41.875994+00:00,287.842499
85,2024-03-14 08:37:41.976002+00:00,288.188737
86,2024-03-14 08:37:42.075898+00:00,287.111923
87,2024-03-14 08:37:42.175600+00:00,287.029162
88,2024-03-14 08:37:42.276626+00:00,287.095489
89,2024-03-14 08:37:42.376071+00:00,287.046624
90,2024-03-14 08:37:42.475749+00:00,286.149106
91,2024-03-14 08:37:42.575818+00:00,287.472623
92,2024-03-14 08:37:42.676333+00:00,287.677876
93,2024-03-14 08:37:42.776284+00:00,287.238104
94,2024-03-14 08:37:42.876073+00:00,288.479802
95,2024-03-14 08:37:42.975946+00:00,287.081575
96,2024-03-14 08:37:43.076384+00:00,286.97089
97,2024-03-14 08:37:43.176417+00:00,287.953324
98,2024-03-14 08:37:43.275994+00:00,287.294809
99,2024-03-14 08:37:43.376549+00:00,288.280855
100,2024-03-14 08:37:43.475733+00:00,287.247658
101,2024-03-14 08:37:43.575984+00:00,288.725541
102,2024-03-14 08:37:43.676204+00:00,287.472181
103,2024-03-14 08:37:43.776302+00:00,287.545948
104,2024-03-14 08:37:43.876436+00:00,287.759222
105,2024-03-14 08:37:43.975902+00:00,287.935427
106,2024-03-14 08:37:44.075641+00:00,288.38315
107,2024-03-14 08:37:44.175901+00:00,286.866178
108,2024-03-14 08:37:44.275946+00:00,287.82488
109,2024-03-14 08:37:44.376804+00:00,289.696367
110,2024-03-14 08:37:44.476482+00:00,287.621468
111,2024-03-14 08:37:44.576027+00:00,287.563618
112,2024-03-14 08:37:44.676604+00:00,287.775801
113,2024-03-14 08:37:44.776294+00:00,286.574156
114,2024-03-14 08:37:44.876025+00:00,287.027935
115,2024-03-14 08:37:44.976198+00:00,289.864857
116,2024-03-14 08:37:45.075920+00:00,288.679332
117,2024-03-14 08:37:45.175894+00:00,287.840026
118,2024-03-14 08:37:45.276058+00:00,288.89099
119,2024-03-14 08:37:45.375865+00:00,288.783415
120,2024-03-14 08:37:45.476315+00:00,287.881068
121,2024-03-14 08:37:45.576079+00:00,287.551693
122,2024-03-14 08:37:45.675887+00:00,288.313226
123,2024-03-14 08:37:45.776213+00:00,288.005718
124,2024-03-14 08:37:45.875740+00:00,287.87386
125,2024-03-14 08:37:45.976123+00:00,287.895597
126,2024-03-14 08:37:46.076319+00:00,287.863066
127,2024-03-14 08:37:46.176432+00:00,287.281074
128,2024-03-14 08:37:46.275696+00:00,288.112838
129,2024-03-14 08:37:46.375530+00:00,287.026268
130,2024-03-14 08:37:46.475450+00:00,287.957645
131,2024-03-14 08:37:46.575703+00:00,288.915864
132,2024-03-14 08:37:46.675322+00:00,288.798227
133,2024-03-14 08:37:46.775753+00:00,288.423748
134,2024-03-14 08:37:46.875843+00:00,287.619091
135,2024-03-14 08:37:46.975839+00:00,287.98522
136,2024-03-14 08:37:47.075438+00:00,287.752781
137,2024-03-14 08:37:47.175345+00:00,289.02021
138,2024-03-14 08:37:47.276129+00:00,288.494379
139,2024-03-14 08:37:47.376081+00:00,287.603633
140,2024-03-14 08:37:47.476304+00:00,287.894636
141,2024-03-14 08:37:47.575554+00:00,288.508203
142,2024-03-14 08:37:47.675031+00:00,288.436349
143,2024-03-14 08:37:47.775077+00:00,288.727476
144,2024-03-14 08:37:47.875622+00:00,287.327007
145,2024-03-14 08:37:47.976732+00:00,288.642901
146,2024-03-14 08:37:48.075951+00:00,288.505816
147,2024-03-14 08:37:48.175993+00:00,288.644094
148,2024-03-14 08:37:48.275605+00:00,286.86081
149,2024-03-14 08:37:48.375612+00:00,287.762071
150,2024-03-14 08:37:48.476072+00:00,289.595938
151,2024-03-14 08:37:48.575370+00:00,287.12491
152,2024-03-14 08:37:48.675627+00:00,287.373221
153,2024-03-14 08:37:48.775487+00:00,288.747227
154,2024-03-14 08:37:48.875702+00:00,288.609756
155,2024-03-14 08:37:48.976868+00:00,287.998058
156,2024-03-14 08:37:49.076724+00:00,288.39537
157,2024-03-14 08:37:49.176630+00:00,287.387725
158,2024-03-14 08:37:49.276361+00:00,287.47517
159,2024-03-14 08:37:49.376723+00:00,287.544471
160,2024-03-14 08:37:49.477089+00:00,288.89954
161,2024-03-14 08:37:49.576614+00:00,287.328483
162,2024-03-14 08:37:49.676492+00:00,286.48866
163,2024-03-14 08:37:49.777433+00:00,288.55702
164,2024-03-14 08:37:49.876863+00:00,287.549126
165,2024-03-14 08:37:49.977520+00:00,288.490085
166,2024-03-14 08:37:50.076794+00:00,287.771709
167,2024-03-14 08:37:50.177868+00:00,288.207796
168,2024-03-14 08:37:50.276353+00:00,287.237133
169,2024-03-14 08:37:50.377282+00:00,287.841508
170,2024-03-14 08:37:50.475285+00:00,286.793246
171,2024-03-14 08:37:50.576066+00:00,287.613046
172,2024-03-14 08:37:50.675245+00:00,288.111116
173,2024-03-14 08:37:50.775586+00:00,287.51809
174,2024-03-14 08:37:50.875404+00:00,288.45619
175,2024-03-14 08:37:50.975339+00:00,287.418222
176,2024-03-14 08:37:51.076006+00:00,287.984791
177,2024-03-14 08:37:51.175745+00:00,287.60481
178,2024-03-14 08:37:51.274921+00:00,288.009517
179,2024-03-14 08:37:51.375078+00:00,287.087701
180,2024-03-14 08:37:51.474886+00:00,286.537701
181,2024-03-14 08:37:51.575013+00:00,287.380457
182,2024-03-14 08:37:51.675350+00:00,287.219206
183,2024-03-14 08:37:51.774955+00:00,287.380004
184,2024-03-14 08:37:51.874803+00:00,287.62718
185,2024-03-14 08:37:51.975771+00:00,287.137733
186,2024-03-14 08:37:52.074848+00:00,287.109157
187,2024-03-14 08:37:52.175508+00:00,287.252672
188,2024-03-14 08:37:52.275310+00:00,287.768728
189,2024-03-14 08:37:52.375015+00:00,288.676058
190,2024-03-14 08:37:52.475021+00:00,287.267115
191,2024-03-14 08:37:52.575223+00:00,286.943797
192,2024-03-14 08:37:52.675730+00:00,287.505203
193,2024-03-14 08:37:52.775058+00:00,287.600967
194,2024-03-14 08:37:52.875382+00:00,287.020292
195,2024-03-14 08:37:52.973875+00:00,287.150677
196,2024-03-14 08:37:53.075430+00:00,287.867421
197,2024-03-14 08:37:53.174370+00:00,287.028775
198,2024-03-14 08:37:53.274874+00:00,287.971297
199,2024-03-14 08:37:53.374181+00:00,287.425881
200,2024-03-14 08:37:53.474710+00:00,287.272493
201,2024-03-14 08:37:53.574576+00:00,288.686894
202,2024-03-14 08:37:53.675037+00:00,288.420325
203,2024-03-14 08:37:53.774022+00:00,288.25662
204,2024-03-14 08:37:53.874197+00:00,287.553448
205,2024-03-14 08:37:53.974755+00:00,288.121652
206,2024-03-14 08:37:54.074567+00:00,286.88364
207,2024-03-14 08:37:54.174390+00:00,288.125278
208,2024-03-14 08:37:54.274412+00:00,289.403832
209,2024-03-14 08:37:54.374791+00:00,287.323478
210,2024-03-14 08:37:54.474116+00:00,288.282176
211,2024-03-14 08:37:54.574840+00:00,286.8429
212,2024-03-14 08:37:54.676744+00:00,288.681479
213,2024-03-14 08:37:54.775034+00:00,288.14884
214,2024-03-14 08:37:54.874894+00:00,289.083027
215,2024-03-14 08:37:54.974184+00:00,287.111947
216,2024-03-14 08:37:55.074077+00:00,288.03512
217,2024-03-14 08:37:55.174099+00:00,289.101157
218,2024-03-14 08:37:55.274064+00:00,288.162278
219,2024-03-14 08:37:55.373621+00:00,287.759646
220,2024-03-14 08:37:55.474220+00:00,289.229158
221,2024-03-14 08:37:55.574045+00:00,288.7464
222,2024-03-14 08:37:55.673660+00:00,289.755543
223,2024-03-14 08:37:55.774124+00:00,288.438479
224,2024-03-14 08:37:55.873768+00:00,288.522917
225,2024-03-14 08:37:55.974243+00:00,288.258731
226,2024-03-14 08:37:56.073627+00:00,287.808862
227,2024-03-14 08:37:56.174157+00:00,288.582107
228,2024-03-14 08:37:56.274151+00:00,288.505983
229,2024-03-14 08:37:56.374432+00:00,288.940537
230,2024-03-14 08:37:56.474279+00:00,289.356159
231,2024-03-14 08:37:56.574696+00:00,287.341157
232,2024-03-14 08:37:56.673937+00:00,289.518048
233,2024-03-14 08:37:56.773519+00:00,287.606368
234,2024-03-14 08:37:56.878236+00:00,287.842902
235,2024-03-14 08:37:56.974642+00:00,288.404309
236,2024-03-14 08:37:57.074912+00:00,288.243536
237,2024-03-14 08:37:57.174255+00:00,289.489183
238,2024-03-14 08:37:57.274727+00:00,288.682728
239,2024-03-14 08:37:57.374315+00:00,287.559699
240,2024-03-14 08:37:57.474219+00:00,289.461336
241,2024-03-14 08:37:57.575176+00:00,288.375896
242,2024-03-14 08:37:57.674378+00:00,289.245249
243,2024-03-14 08:37:57.774249+00:00,287.294192
244,2024-03-14 08:37:57.873459+00:00,288.362084
245,2024-03-14 08:37:57.974632+00:00,288.970287
246,2024-03-14 08:37:58.074925+00:00,286.70719
247,2024-03-14 08:37:58.173879+00:00,288.423575
248,2024-03-14 08:37:58.274295+00:00,287.453313
249,2024-03-14 08:37:58.373969+00:00,288.891796
250,2024-03-14 08:37:58.474018+00:00,288.872822
251,2024-03-14 08:37:58.574726+00:00,288.372534
252,2024-03-14 08:37:58.674411+00:00,286.967895
253,2024-03-14 08:37:58.773856+00:00,288.182235
254,2024-03-14 08:37:58.873910+00:00,287.997834
255,2024-03-14 08:37:58.974336+00:00,289.310197
256,2024-03-14 08:37:59.074613+00:00,288.103975
257,2024-03-14 08:37:59.174127+00:00,288.070736
258,2024-03-14 08:37:59.274025+00:00,288.343519
259,2024-03-14 08:37:59.374296+00:00,288.646883
260,2024-03-14 08:37:59.474082+00:00,288.405421
261,2024-03-14 08:37:59.574599+00:00,289.053215
262,2024-03-14 08:37:59.674930+00:00,289.086249
263,2024-03-14 08:37:59.774419+00:00,287.366886
264,2024-03-14 08:37:59.874442+00:00,288.395605
265,2024-03-14 08:37:59.973936+00:00,288.816872
266,2024-03-14 08:38:00.073794+00:00,287.931513
267,2024-03-14 08:38:00.174604+00:00,288.700682
268,2024-03-14 08:38:00.273793+00:00,288.047216
269,2024-03-14 08:38:00.373765+00:00,287.900395
270,2024-03-14 08:38:00.474400+00:00,288.58569
271,2024-03-14 08:38:00.573397+00:00,288.543766
272,2024-03-14 08:38:00.674074+00:00,287.658183
273,2024-03-14 08:38:00.773746+00:00,287.781546
274,2024-03-14 08:38:00.873910+00:00,287.414483
275,2024-03-14 08:38:00.973536+00:00,289.271153
276,2024-03-14 08:38:01.083562+00:00,287.956629
277,2024-03-14 08:38:01.173449+00:00,288.430491
278,2024-03-14 08:38:01.273254+00:00,288.22922
279,2024-03-14 08:38:01.373998+00:00,287.821135
280,2024-03-14 08:38:01.473357+00:00,287.962049
281,2024-03-14 08:38:01.573694+00:00,287.952795
282,2024-03-14 08:38:01.673798+00:00,287.125963
283,2024-03-14 08:38:01.773664+00:00,287.240606
284,2024-03-14 08:38:01.874755+00:00,288.296409
285,2024-03-14 08:38:01.973827+00:00,289.90366
286,2024-03-14 08:38:02.073168+00:00,289.116117
287,2024-03-14 08:38:02.173496+00:00,287.8488
288,2024-03-14 08:38:02.273316+00:00,288.696677
289,2024-03-14 08:38:02.373578+00:00,287.139868
290,2024-03-14 08:38:02.474504+00:00,288.036256
291,2024-03-14 08:38:02.573985+00:00,287.582917
292,2024-03-14 08:38:02.673052+00:00,287.890897
293,2024-03-14 08:38:02.773277+00:00,288.224319
294,2024-03-14 08:38:02.873611+00:00,289.315313
295,2024-03-14 08:38:02.973399+00:00,287.403988
296,2024-03-14 08:38:03.073398+00:00,289.011849
297,2024-03-14 08:38:03.173472+00:00,288.339027
298,2024-03-14 08:38:03.273405+00:00,288.048598
299,2024-03-14 08:38:03.373080+00:00,288.0785
300,2024-03-14 08:38:03.472687+00:00,288.607785
301,2024-03-14 08:38:03.573042+00:00,286.847471
302,2024-03-14 08:38:03.672525+00:00,288.603584
303,2024-03-14 08:38:03.773241+00:00,289.04834
304,2024-03-14 08:38:03.873493+00:00,288.501502
305,2024-03-14 08:38:03.973465+00:00,288.818534
306,2024-03-14 08:38:04.073095+00:00,289.725419
307,2024-03-14 08:38:04.172953+00:00,289.018072
308,2024-03-14 08:38:04.272439+00:00,288.731804
309,2024-03-14 08:38:04.373633+00:00,287.990481
310,2024-03-14 08:38:04.473693+00:00,288.261728
311,2024-03-14 08:38:04.572274+00:00,288.007691
312,2024-03-14 08:38:04.672485+00:00,289.0468
313,2024-03-14 08:38:04.772575+00:00,288.922955
314,2024-03-14 08:38:04.872258+00:00,288.5122
315,2024-03-14 08:38:04.973038+00:00,287.960355
316,2024-03-14 08:38:05.072696+00:00,289.547827
317,2024-03-14 08:38:05.172593+00:00,288.835098
318,2024-03-14 08:38:05.272950+00:00,288.880166
319,2024-03-14 08:38:05.372834+00:00,289.389369
320,2024-03-14 08:38:05.472563+00:00,288.582505
321,2024-03-14 08:38:05.572991+00:00,289.649457
322,2024-03-14 08:38:05.673316+00:00,289.44324
323,2024-03-14 08:38:05.772938+00:00,289.374708
324,2024-03-14 08:38:05.872865+00:00,288.591272
325,2024-03-14 08:38:05.972474+00:00,288.087281
326,2024-03-14 08:38:06.073180+00:00,288.180586
327,2024-03-14 08:38:06.172375+00:00,289.143849
328,2024-03-14 08:38:06.272428+00:00,288.803423
329,2024-03-14 08:38:06.372304+00:00,289.535207
330,2024-03-14 08:38:06.472482+00:00,288.802961
331,2024-03-14 08:38:06.572144+00:00,288.891004
332,2024-03-14 08:38:06.672001+00:00,289.047295
333,2024-03-14 08:38:06.772057+00:00,290.001152
334,2024-03-14 08:38:06.871644+00:00,287.841086
335,2024-03-14 08:38:06.972085+00:00,289.304754
336,2024-03-14 08:38:07.071670+00:00,289.009435
337,2024-03-14 08:38:07.171447+00:00,288.801172
338,2024-03-14 08:38:07.271930+00:00,288.409554
339,2024-03-14 08:38:07.372058+00:00,288.612071
340,2024-03-14 08:38:07.471749+00:00,289.351302
341,2024-03-14 08:38:07.572379+00:00,287.307386
342,2024-03-14 08:38:07.671899+00:00,288.385878
343,2024-03-14 08:38:07.772040+00:00,288.957982
344,2024-03-14 08:38:07.871156+00:00,288.421519
345,2024-03-14 08:38:07.972288+00:00,288.020354
346,2024-03-14 08:38:08.071427+00:00,289.150506
347,2024-03-14 08:38:08.171766+00:00,289.421621
348,2024-03-14 08:38:08.271281+00:00,289.318692
349,2024-03-14 08:38:08.371222+00:00,287.946212
350,2024-03-14 08:38:08.472096+00:00,288.517088
351,2024-03-14 08:38:08.571855+00:00,289.168058
352,2024-03-14 08:38:08.671970+00:00,288.54477
353,2024-03-14 08:38:08.771741+00:00,288.715417
354,2024-03-14 08:38:08.871300+00:00,288.29013
355,2024-03-14 08:38:08.971386+00:00,287.35298
356,2024-03-14 08:38:09.071324+00:00,289.698426
357,2024-03-14 08:38:09.171298+00:00,288.94845
358,2024-03-14 08:38:09.272197+00:00,289.184149
359,2024-03-14 08:38:09.372059+00:00,289.61411
