,time,IncidentPowerReference
0,2024-03-15 08:30:17.289134+00:00,120.0
1,2024-03-15 08:30:17.389356+00:00,120.0
2,2024-03-15 08:30:17.489136+00:00,120.0
3,2024-03-15 08:30:17.589011+00:00,120.0
4,2024-03-15 08:30:17.689186+00:00,120.0
5,2024-03-15 08:30:17.789219+00:00,120.0
6,2024-03-15 08:30:17.889040+00:00,120.0
7,2024-03-15 08:30:17.988941+00:00,120.0
8,2024-03-15 08:30:18.089381+00:00,120.0
9,2024-03-15 08:30:18.188921+00:00,120.0
10,2024-03-15 08:30:18.288411+00:00,120.0
11,2024-03-15 08:30:18.389571+00:00,120.0
12,2024-03-15 08:30:18.489108+00:00,120.0
13,2024-03-15 08:30:18.589353+00:00,120.0
14,2024-03-15 08:30:18.689228+00:00,120.0
15,2024-03-15 08:30:18.796645+00:00,120.0
16,2024-03-15 08:30:18.889448+00:00,120.0
17,2024-03-15 08:30:18.988946+00:00,120.0
18,2024-03-15 08:30:19.089035+00:00,120.0
19,2024-03-15 08:30:19.188954+00:00,120.0
20,2024-03-15 08:30:19.288949+00:00,120.0
21,2024-03-15 08:30:19.388996+00:00,120.0
22,2024-03-15 08:30:19.488921+00:00,120.0
23,2024-03-15 08:30:19.588911+00:00,120.0
24,2024-03-15 08:30:19.689003+00:00,120.0
25,2024-03-15 08:30:19.789143+00:00,120.0
26,2024-03-15 08:30:19.890180+00:00,120.0
27,2024-03-15 08:30:19.988842+00:00,120.0
28,2024-03-15 08:30:20.089275+00:00,120.0
29,2024-03-15 08:30:20.189034+00:00,120.0
30,2024-03-15 08:30:20.289359+00:00,120.0
31,2024-03-15 08:30:20.389455+00:00,120.0
32,2024-03-15 08:30:20.489033+00:00,120.0
33,2024-03-15 08:30:20.588849+00:00,120.0
34,2024-03-15 08:30:20.688968+00:00,120.0
35,2024-03-15 08:30:20.789461+00:00,120.0
36,2024-03-15 08:30:20.889407+00:00,120.0
37,2024-03-15 08:30:20.989266+00:00,120.0
38,2024-03-15 08:30:21.088820+00:00,120.0
39,2024-03-15 08:30:21.188809+00:00,120.0
40,2024-03-15 08:30:21.288937+00:00,120.0
41,2024-03-15 08:30:21.388675+00:00,120.0
42,2024-03-15 08:30:21.488997+00:00,120.0
43,2024-03-15 08:30:21.588984+00:00,120.0
44,2024-03-15 08:30:21.688839+00:00,120.0
45,2024-03-15 08:30:21.789056+00:00,120.0
46,2024-03-15 08:30:21.889081+00:00,120.0
47,2024-03-15 08:30:21.988716+00:00,120.0
48,2024-03-15 08:30:22.088852+00:00,120.0
49,2024-03-15 08:30:22.188907+00:00,120.0
50,2024-03-15 08:30:22.289164+00:00,120.0
51,2024-03-15 08:30:22.388901+00:00,120.0
52,2024-03-15 08:30:22.488744+00:00,120.0
53,2024-03-15 08:30:22.588749+00:00,120.0
54,2024-03-15 08:30:22.689103+00:00,120.0
55,2024-03-15 08:30:22.788949+00:00,120.0
56,2024-03-15 08:30:22.889093+00:00,120.0
57,2024-03-15 08:30:22.988590+00:00,120.0
58,2024-03-15 08:30:23.089155+00:00,120.0
59,2024-03-15 08:30:23.188674+00:00,120.0
60,2024-03-15 08:30:23.289184+00:00,120.0
61,2024-03-15 08:30:23.388915+00:00,120.0
62,2024-03-15 08:30:23.488228+00:00,120.0
63,2024-03-15 08:30:23.588715+00:00,120.0
64,2024-03-15 08:30:23.688962+00:00,120.0
65,2024-03-15 08:30:23.788774+00:00,120.0
66,2024-03-15 08:30:23.888851+00:00,120.0
67,2024-03-15 08:30:23.988523+00:00,120.0
68,2024-03-15 08:30:24.088628+00:00,120.0
69,2024-03-15 08:30:24.188744+00:00,120.0
70,2024-03-15 08:30:24.288673+00:00,120.0
71,2024-03-15 08:30:24.388525+00:00,120.0
72,2024-03-15 08:30:24.488766+00:00,120.0
73,2024-03-15 08:30:24.588881+00:00,120.0
74,2024-03-15 08:30:24.688588+00:00,120.0
75,2024-03-15 08:30:24.788588+00:00,120.0
76,2024-03-15 08:30:24.888475+00:00,120.0
77,2024-03-15 08:30:24.988678+00:00,120.0
78,2024-03-15 08:30:25.088985+00:00,120.0
79,2024-03-15 08:30:25.188890+00:00,120.0
80,2024-03-15 08:30:25.288539+00:00,120.0
81,2024-03-15 08:30:25.388461+00:00,120.0
82,2024-03-15 08:30:25.488622+00:00,120.0
83,2024-03-15 08:30:25.588539+00:00,120.0
84,2024-03-15 08:30:25.688659+00:00,120.0
85,2024-03-15 08:30:25.788434+00:00,120.0
86,2024-03-15 08:30:25.888901+00:00,120.0
87,2024-03-15 08:30:25.988987+00:00,120.0
88,2024-03-15 08:30:26.088727+00:00,120.0
89,2024-03-15 08:30:26.188809+00:00,120.0
90,2024-03-15 08:30:26.288942+00:00,120.0
91,2024-03-15 08:30:26.388852+00:00,120.0
92,2024-03-15 08:30:26.488869+00:00,120.0
93,2024-03-15 08:30:26.588807+00:00,120.0
94,2024-03-15 08:30:26.688500+00:00,120.0
95,2024-03-15 08:30:26.788407+00:00,120.0
96,2024-03-15 08:30:26.888527+00:00,120.0
97,2024-03-15 08:30:26.988806+00:00,120.0
98,2024-03-15 08:30:27.088879+00:00,120.0
99,2024-03-15 08:30:27.188270+00:00,120.0
100,2024-03-15 08:30:27.288892+00:00,120.0
101,2024-03-15 08:30:27.388995+00:00,120.0
102,2024-03-15 08:30:27.489313+00:00,120.0
103,2024-03-15 08:30:27.588497+00:00,120.0
104,2024-03-15 08:30:27.688984+00:00,120.0
105,2024-03-15 08:30:27.789043+00:00,120.0
106,2024-03-15 08:30:27.888550+00:00,120.0
107,2024-03-15 08:30:27.988741+00:00,120.0
108,2024-03-15 08:30:28.088403+00:00,120.0
109,2024-03-15 08:30:28.188658+00:00,120.0
