,time,IncidentPowerReference
0,2024-03-14 08:37:33.446759+00:00,80.0
1,2024-03-14 08:37:33.547051+00:00,80.0
2,2024-03-14 08:37:33.647050+00:00,80.0
3,2024-03-14 08:37:33.747059+00:00,80.0
4,2024-03-14 08:37:33.847468+00:00,80.0
5,2024-03-14 08:37:33.946866+00:00,80.0
6,2024-03-14 08:37:34.046980+00:00,80.0
7,2024-03-14 08:37:34.147076+00:00,80.0
8,2024-03-14 08:37:34.246969+00:00,80.0
9,2024-03-14 08:37:34.347519+00:00,80.0
10,2024-03-14 08:37:34.447203+00:00,80.0
11,2024-03-14 08:37:34.547004+00:00,80.0
12,2024-03-14 08:37:34.647219+00:00,80.0
13,2024-03-14 08:37:34.747106+00:00,80.0
14,2024-03-14 08:37:34.846564+00:00,80.0
15,2024-03-14 08:37:34.947012+00:00,80.0
16,2024-03-14 08:37:35.047249+00:00,80.0
17,2024-03-14 08:37:35.147261+00:00,80.0
18,2024-03-14 08:37:35.246937+00:00,80.0
19,2024-03-14 08:37:35.347182+00:00,80.0
20,2024-03-14 08:37:35.446986+00:00,80.0
21,2024-03-14 08:37:35.547065+00:00,80.0
22,2024-03-14 08:37:35.646902+00:00,80.0
23,2024-03-14 08:37:35.746772+00:00,80.0
24,2024-03-14 08:37:35.847459+00:00,80.0
25,2024-03-14 08:37:35.947149+00:00,80.0
26,2024-03-14 08:37:36.046894+00:00,80.0
27,2024-03-14 08:37:36.146895+00:00,80.0
28,2024-03-14 08:37:36.246862+00:00,80.0
29,2024-03-14 08:37:36.346998+00:00,80.0
30,2024-03-14 08:37:36.446813+00:00,80.0
31,2024-03-14 08:37:36.546862+00:00,80.0
32,2024-03-14 08:37:36.647185+00:00,80.0
33,2024-03-14 08:37:36.746876+00:00,80.0
34,2024-03-14 08:37:36.846911+00:00,80.0
35,2024-03-14 08:37:36.946572+00:00,80.0
36,2024-03-14 08:37:37.046578+00:00,80.0
37,2024-03-14 08:37:37.146706+00:00,80.0
38,2024-03-14 08:37:37.246779+00:00,80.0
