,time,PressureLEBT
0,2024-03-14 08:37:33.433881+00:00,9.64e-05
1,2024-03-14 08:37:33.533797+00:00,9.64e-05
2,2024-03-14 08:37:33.634703+00:00,9.64e-05
3,2024-03-14 08:37:33.734631+00:00,9.64e-05
4,2024-03-14 08:37:33.834670+00:00,9.64e-05
5,2024-03-14 08:37:33.934093+00:00,9.64e-05
6,2024-03-14 08:37:34.034046+00:00,9.64e-05
7,2024-03-14 08:37:34.133709+00:00,9.64e-05
8,2024-03-14 08:37:34.234365+00:00,9.64e-05
9,2024-03-14 08:37:34.334084+00:00,9.64e-05
10,2024-03-14 08:37:34.434404+00:00,9.64e-05
11,2024-03-14 08:37:34.533711+00:00,9.64e-05
12,2024-03-14 08:37:34.634457+00:00,9.64e-05
13,2024-03-14 08:37:34.733819+00:00,9.63e-05
14,2024-03-14 08:37:34.834375+00:00,9.64e-05
15,2024-03-14 08:37:34.934410+00:00,9.64e-05
16,2024-03-14 08:37:35.033910+00:00,9.63e-05
17,2024-03-14 08:37:35.134077+00:00,9.63e-05
18,2024-03-14 08:37:35.233583+00:00,9.64e-05
19,2024-03-14 08:37:35.333919+00:00,9.64e-05
20,2024-03-14 08:37:35.433582+00:00,9.63e-05
21,2024-03-14 08:37:35.534077+00:00,9.64e-05
22,2024-03-14 08:37:35.633604+00:00,9.64e-05
23,2024-03-14 08:37:35.734017+00:00,9.63e-05
24,2024-03-14 08:37:35.834586+00:00,9.63e-05
25,2024-03-14 08:37:35.934346+00:00,9.64e-05
26,2024-03-14 08:37:36.034085+00:00,9.63e-05
27,2024-03-14 08:37:36.133864+00:00,9.63e-05
28,2024-03-14 08:37:36.233605+00:00,9.63e-05
29,2024-03-14 08:37:36.333685+00:00,9.64e-05
30,2024-03-14 08:37:36.433781+00:00,9.63e-05
31,2024-03-14 08:37:36.534157+00:00,9.64e-05
32,2024-03-14 08:37:36.634494+00:00,9.64e-05
33,2024-03-14 08:37:36.733974+00:00,9.64e-05
34,2024-03-14 08:37:36.833400+00:00,9.64e-05
35,2024-03-14 08:37:36.933861+00:00,9.64e-05
36,2024-03-14 08:37:37.033756+00:00,9.64e-05
37,2024-03-14 08:37:37.133761+00:00,9.63e-05
38,2024-03-14 08:37:37.234270+00:00,9.63e-05
39,2024-03-14 08:37:37.333551+00:00,9.63e-05
40,2024-03-14 08:37:37.433701+00:00,9.63e-05
41,2024-03-14 08:37:37.534133+00:00,9.64e-05
42,2024-03-14 08:37:37.634372+00:00,9.64e-05
43,2024-03-14 08:37:37.734302+00:00,9.64e-05
44,2024-03-14 08:37:37.834378+00:00,9.64e-05
45,2024-03-14 08:37:37.933673+00:00,9.64e-05
46,2024-03-14 08:37:38.034236+00:00,9.63e-05
47,2024-03-14 08:37:38.134775+00:00,9.63e-05
48,2024-03-14 08:37:38.234806+00:00,9.63e-05
49,2024-03-14 08:37:38.333713+00:00,9.63e-05
50,2024-03-14 08:37:38.433580+00:00,9.63e-05
51,2024-03-14 08:37:38.533841+00:00,9.63e-05
52,2024-03-14 08:37:38.634040+00:00,9.63e-05
53,2024-03-14 08:37:38.733964+00:00,9.63e-05
54,2024-03-14 08:37:38.834239+00:00,9.64e-05
55,2024-03-14 08:37:38.933675+00:00,9.64e-05
56,2024-03-14 08:37:39.032541+00:00,9.64e-05
57,2024-03-14 08:37:39.133556+00:00,9.63e-05
58,2024-03-14 08:37:39.232375+00:00,9.63e-05
59,2024-03-14 08:37:39.333995+00:00,9.64e-05
60,2024-03-14 08:37:39.432462+00:00,9.64e-05
61,2024-03-14 08:37:39.532774+00:00,9.64e-05
62,2024-03-14 08:37:39.632529+00:00,9.64e-05
