,time,ForwardPower
0,2024-03-14 08:37:33.499671+00:00,79.712608
1,2024-03-14 08:37:33.609722+00:00,79.723979
2,2024-03-14 08:37:33.700297+00:00,80.145015
3,2024-03-14 08:37:33.800563+00:00,80.031165
4,2024-03-14 08:37:33.899819+00:00,79.951495
5,2024-03-14 08:37:34.000307+00:00,80.258908
6,2024-03-14 08:37:34.099834+00:00,80.110856
7,2024-03-14 08:37:34.200356+00:00,79.917357
8,2024-03-14 08:37:34.299636+00:00,79.951495
9,2024-03-14 08:37:34.400251+00:00,79.8946
10,2024-03-14 08:37:34.500494+00:00,80.122242
11,2024-03-14 08:37:34.599123+00:00,79.985636
12,2024-03-14 08:37:34.700536+00:00,79.8946
13,2024-03-14 08:37:34.801046+00:00,80.145015
14,2024-03-14 08:37:34.900463+00:00,80.145015
15,2024-03-14 08:37:35.000392+00:00,79.8946
16,2024-03-14 08:37:35.099372+00:00,85.833707
17,2024-03-14 08:37:35.199385+00:00,79.837716
18,2024-03-14 08:37:35.300886+00:00,79.780842
19,2024-03-14 08:37:35.400371+00:00,79.974255
20,2024-03-14 08:37:35.498993+00:00,80.019782
21,2024-03-14 08:37:35.600022+00:00,80.145015
22,2024-03-14 08:37:35.700257+00:00,79.883222
23,2024-03-14 08:37:35.800484+00:00,79.917357
24,2024-03-14 08:37:35.900433+00:00,79.928735
25,2024-03-14 08:37:35.999962+00:00,79.8946
26,2024-03-14 08:37:36.100621+00:00,79.712608
27,2024-03-14 08:37:36.200411+00:00,79.803591
28,2024-03-14 08:37:36.299902+00:00,79.8946
29,2024-03-14 08:37:36.400590+00:00,79.564819
30,2024-03-14 08:37:36.500594+00:00,118.846911
31,2024-03-14 08:37:36.599937+00:00,80.874658
32,2024-03-14 08:37:36.700025+00:00,79.928735
33,2024-03-14 08:37:36.800104+00:00,79.849092
34,2024-03-14 08:37:36.900261+00:00,80.270299
35,2024-03-14 08:37:36.999327+00:00,80.213346
36,2024-03-14 08:37:37.099976+00:00,80.304477
37,2024-03-14 08:37:37.198949+00:00,79.962875
38,2024-03-14 08:37:37.299328+00:00,79.905978
39,2024-03-14 08:37:37.400014+00:00,80.133628
40,2024-03-14 08:37:37.500525+00:00,80.133628
41,2024-03-14 08:37:37.600253+00:00,79.905978
42,2024-03-14 08:37:37.698663+00:00,79.803591
43,2024-03-14 08:37:37.799857+00:00,79.82634
44,2024-03-14 08:37:37.900584+00:00,79.576185
45,2024-03-14 08:37:38.000327+00:00,79.883222
46,2024-03-14 08:37:38.100134+00:00,79.542089
47,2024-03-14 08:37:38.200314+00:00,79.883222
48,2024-03-14 08:37:38.299862+00:00,79.644389
49,2024-03-14 08:37:38.400091+00:00,80.053931
50,2024-03-14 08:37:38.500303+00:00,79.860468
51,2024-03-14 08:37:38.600134+00:00,79.655758
