,time,CameraLuminosity
33054,2024-03-15 09:25:21.958235+00:00,32662017.0
33055,2024-03-15 09:25:22.057635+00:00,32662017.0
33056,2024-03-15 09:25:22.158171+00:00,32662017.0
33057,2024-03-15 09:25:22.258447+00:00,32662017.0
33058,2024-03-15 09:25:22.358187+00:00,32662017.0
33059,2024-03-15 09:25:22.458488+00:00,32662017.0
33060,2024-03-15 09:25:22.558609+00:00,32662017.0
33061,2024-03-15 09:25:22.658630+00:00,32662017.0
33062,2024-03-15 09:25:22.758450+00:00,32662017.0
33063,2024-03-15 09:25:22.858644+00:00,32662017.0
33064,2024-03-15 09:25:22.958456+00:00,32662017.0
33065,2024-03-15 09:25:23.058181+00:00,32662017.0
33066,2024-03-15 09:25:23.158209+00:00,32662017.0
33067,2024-03-15 09:25:23.257923+00:00,32662017.0
33068,2024-03-15 09:25:23.358218+00:00,32662017.0
33069,2024-03-15 09:25:23.457891+00:00,32662017.0
33070,2024-03-15 09:25:23.557890+00:00,32662017.0
33071,2024-03-15 09:25:23.658094+00:00,32662017.0
33072,2024-03-15 09:25:23.757965+00:00,32662017.0
33073,2024-03-15 09:25:23.857731+00:00,32662017.0
33074,2024-03-15 09:25:23.957900+00:00,32721953.0
33075,2024-03-15 09:25:24.057783+00:00,32721953.0
33076,2024-03-15 09:25:24.157842+00:00,32721953.0
33077,2024-03-15 09:25:24.258337+00:00,32721953.0
33078,2024-03-15 09:25:24.357823+00:00,32721953.0
33079,2024-03-15 09:25:24.457824+00:00,32721953.0
33080,2024-03-15 09:25:24.558247+00:00,32721953.0
33081,2024-03-15 09:25:24.657685+00:00,32656505.0
33082,2024-03-15 09:25:24.757904+00:00,32662544.0
33083,2024-03-15 09:25:24.857670+00:00,32662544.0
33084,2024-03-15 09:25:24.964102+00:00,32655973.0
33085,2024-03-15 09:25:25.057911+00:00,32655973.0
33086,2024-03-15 09:25:25.157841+00:00,32655973.0
33087,2024-03-15 09:25:25.257621+00:00,32655973.0
33088,2024-03-15 09:25:25.357323+00:00,32655973.0
33089,2024-03-15 09:25:25.457235+00:00,32655973.0
33090,2024-03-15 09:25:25.557708+00:00,32655973.0
33091,2024-03-15 09:25:25.657220+00:00,32655973.0
33092,2024-03-15 09:25:25.757644+00:00,32655973.0
33093,2024-03-15 09:25:25.857854+00:00,32655973.0
33094,2024-03-15 09:25:25.957151+00:00,32655973.0
33095,2024-03-15 09:25:26.057166+00:00,32655973.0
33096,2024-03-15 09:25:26.157333+00:00,32655973.0
33097,2024-03-15 09:25:26.257215+00:00,32655973.0
33098,2024-03-15 09:25:26.356924+00:00,32655973.0
33099,2024-03-15 09:25:26.456662+00:00,32655973.0
33100,2024-03-15 09:25:26.556967+00:00,32655973.0
33101,2024-03-15 09:25:26.657310+00:00,32655973.0
33102,2024-03-15 09:25:26.757560+00:00,32655973.0
33103,2024-03-15 09:25:26.857057+00:00,32655973.0
33104,2024-03-15 09:25:26.956648+00:00,32713451.0
33105,2024-03-15 09:25:27.057111+00:00,32713451.0
33106,2024-03-15 09:25:27.157215+00:00,32713451.0
33107,2024-03-15 09:25:27.257106+00:00,32713451.0
33108,2024-03-15 09:25:27.357098+00:00,32713451.0
33109,2024-03-15 09:25:27.457012+00:00,32713451.0
33110,2024-03-15 09:25:27.556344+00:00,32713451.0
33111,2024-03-15 09:25:27.656400+00:00,32713451.0
33112,2024-03-15 09:25:27.756583+00:00,32713451.0
33113,2024-03-15 09:25:27.856812+00:00,32713451.0
33114,2024-03-15 09:25:27.957129+00:00,32713451.0
33115,2024-03-15 09:25:28.056680+00:00,32713451.0
33116,2024-03-15 09:25:28.156724+00:00,32713451.0
33117,2024-03-15 09:25:28.256592+00:00,32713451.0
33118,2024-03-15 09:25:28.356294+00:00,32713451.0
33119,2024-03-15 09:25:28.456405+00:00,32713451.0
33120,2024-03-15 09:25:28.556409+00:00,32713451.0
33121,2024-03-15 09:25:28.656648+00:00,32713451.0
33122,2024-03-15 09:25:28.756810+00:00,32713451.0
33123,2024-03-15 09:25:28.856296+00:00,32713451.0
33124,2024-03-15 09:25:28.964403+00:00,32706479.0
33125,2024-03-15 09:25:29.056885+00:00,32706479.0
33126,2024-03-15 09:25:29.156481+00:00,32706479.0
33127,2024-03-15 09:25:29.256480+00:00,32706479.0
33128,2024-03-15 09:25:29.357078+00:00,32706479.0
33129,2024-03-15 09:25:29.456356+00:00,32706479.0
33130,2024-03-15 09:25:29.556419+00:00,32706479.0
33131,2024-03-15 09:25:29.656325+00:00,32706479.0
33132,2024-03-15 09:25:29.755990+00:00,32706479.0
33133,2024-03-15 09:25:29.856317+00:00,32706479.0
33134,2024-03-15 09:25:29.955861+00:00,32706479.0
33135,2024-03-15 09:25:30.055755+00:00,32706479.0
33136,2024-03-15 09:25:30.155776+00:00,32706479.0
33137,2024-03-15 09:25:30.255699+00:00,32706479.0
33138,2024-03-15 09:25:30.355996+00:00,32706479.0
33139,2024-03-15 09:25:30.455961+00:00,32706479.0
33140,2024-03-15 09:25:30.556264+00:00,32706479.0
33141,2024-03-15 09:25:30.656024+00:00,32706479.0
33142,2024-03-15 09:25:30.756555+00:00,32706479.0
33143,2024-03-15 09:25:30.856132+00:00,32706479.0
33144,2024-03-15 09:25:30.955206+00:00,32706479.0
33145,2024-03-15 09:25:31.055955+00:00,32706479.0
33146,2024-03-15 09:25:31.155362+00:00,32706479.0
33147,2024-03-15 09:25:31.255311+00:00,32706479.0
33148,2024-03-15 09:25:31.355704+00:00,32706479.0
33149,2024-03-15 09:25:31.455808+00:00,32706479.0
33150,2024-03-15 09:25:31.555548+00:00,32706479.0
33151,2024-03-15 09:25:31.655771+00:00,32706479.0
33152,2024-03-15 09:25:31.756021+00:00,32706479.0
33153,2024-03-15 09:25:31.855188+00:00,32706479.0
33154,2024-03-15 09:25:31.955255+00:00,32720462.0
33155,2024-03-15 09:25:32.055192+00:00,32720462.0
33156,2024-03-15 09:25:32.155428+00:00,32720462.0
33157,2024-03-15 09:25:32.255464+00:00,32720462.0
33158,2024-03-15 09:25:32.355459+00:00,32720462.0
33159,2024-03-15 09:25:32.455389+00:00,32720462.0
33160,2024-03-15 09:25:32.555414+00:00,32720462.0
33161,2024-03-15 09:25:32.655231+00:00,32660813.0
33162,2024-03-15 09:25:32.754865+00:00,32663145.0
33163,2024-03-15 09:25:32.855177+00:00,32663145.0
33164,2024-03-15 09:25:32.955176+00:00,32661261.0
33165,2024-03-15 09:25:33.054908+00:00,32661261.0
33166,2024-03-15 09:25:33.155039+00:00,32661261.0
33167,2024-03-15 09:25:33.255050+00:00,32661261.0
33168,2024-03-15 09:25:33.354914+00:00,32661261.0
33169,2024-03-15 09:25:33.455270+00:00,32661261.0
33170,2024-03-15 09:25:33.556019+00:00,32661261.0
33171,2024-03-15 09:25:33.654511+00:00,32661261.0
33172,2024-03-15 09:25:33.754606+00:00,32661261.0
33173,2024-03-15 09:25:33.855073+00:00,32661261.0
33174,2024-03-15 09:25:33.954852+00:00,32661261.0
33175,2024-03-15 09:25:34.054973+00:00,32661261.0
33176,2024-03-15 09:25:34.154964+00:00,32661261.0
33177,2024-03-15 09:25:34.254931+00:00,32661261.0
33178,2024-03-15 09:25:34.354731+00:00,32661261.0
33179,2024-03-15 09:25:34.454624+00:00,32661261.0
33180,2024-03-15 09:25:34.554499+00:00,32661261.0
33181,2024-03-15 09:25:34.654865+00:00,32661261.0
33182,2024-03-15 09:25:34.754674+00:00,32661261.0
33183,2024-03-15 09:25:34.854293+00:00,32661261.0
33184,2024-03-15 09:25:34.955019+00:00,32714176.0
33185,2024-03-15 09:25:35.054811+00:00,32714176.0
33186,2024-03-15 09:25:35.154252+00:00,32714176.0
33187,2024-03-15 09:25:35.254419+00:00,32714176.0
33188,2024-03-15 09:25:35.354324+00:00,32714176.0
33189,2024-03-15 09:25:35.454454+00:00,32714176.0
33190,2024-03-15 09:25:35.554214+00:00,32714176.0
33191,2024-03-15 09:25:35.654198+00:00,32714176.0
33192,2024-03-15 09:25:35.753876+00:00,32714176.0
33193,2024-03-15 09:25:35.853927+00:00,32714176.0
33194,2024-03-15 09:25:35.954140+00:00,32714176.0
33195,2024-03-15 09:25:36.053668+00:00,32714176.0
33196,2024-03-15 09:25:36.153868+00:00,32714176.0
33197,2024-03-15 09:25:36.254127+00:00,32714176.0
33198,2024-03-15 09:25:36.354286+00:00,32714176.0
33199,2024-03-15 09:25:36.454482+00:00,32714176.0
33200,2024-03-15 09:25:36.554098+00:00,32714176.0
33201,2024-03-15 09:25:36.654023+00:00,32714176.0
33202,2024-03-15 09:25:36.754186+00:00,32714176.0
33203,2024-03-15 09:25:36.853503+00:00,32714176.0
33204,2024-03-15 09:25:36.953939+00:00,32708209.0
33205,2024-03-15 09:25:37.054369+00:00,32708209.0
33206,2024-03-15 09:25:37.154199+00:00,32708209.0
33207,2024-03-15 09:25:37.254190+00:00,32708209.0
33208,2024-03-15 09:25:37.354304+00:00,32708209.0
33209,2024-03-15 09:25:37.454133+00:00,32708209.0
33210,2024-03-15 09:25:37.554015+00:00,32708209.0
33211,2024-03-15 09:25:37.653861+00:00,32660119.0
33212,2024-03-15 09:25:37.753955+00:00,32659275.0
33213,2024-03-15 09:25:37.853012+00:00,32659275.0
33214,2024-03-15 09:25:37.953520+00:00,32659349.0
33215,2024-03-15 09:25:38.054126+00:00,32664280.0
33216,2024-03-15 09:25:38.153492+00:00,32661890.0
33217,2024-03-15 09:25:38.253684+00:00,32664224.0
33218,2024-03-15 09:25:38.353691+00:00,32664224.0
33219,2024-03-15 09:25:38.453829+00:00,32664193.0
33220,2024-03-15 09:25:38.553520+00:00,32667105.0
33221,2024-03-15 09:25:38.653348+00:00,32658190.0
33222,2024-03-15 09:25:38.753402+00:00,32659107.0
33223,2024-03-15 09:25:38.853654+00:00,32659107.0
33224,2024-03-15 09:25:38.953371+00:00,32659304.0
