,time,ForwardPower
0,2024-03-15 08:30:17.299148+00:00,119.874224
1,2024-03-15 08:30:17.400231+00:00,119.951395
2,2024-03-15 08:30:17.500269+00:00,120.234504
3,2024-03-15 08:30:17.600497+00:00,119.848504
4,2024-03-15 08:30:17.700503+00:00,119.629961
5,2024-03-15 08:30:17.799812+00:00,120.852998
6,2024-03-15 08:30:17.900205+00:00,118.603372
7,2024-03-15 08:30:17.999144+00:00,120.208757
8,2024-03-15 08:30:18.100249+00:00,119.938532
9,2024-03-15 08:30:18.200512+00:00,169.022671
10,2024-03-15 08:30:18.298908+00:00,120.994891
11,2024-03-15 08:30:18.399892+00:00,120.311756
12,2024-03-15 08:30:18.499320+00:00,120.350388
13,2024-03-15 08:30:18.600642+00:00,120.002853
14,2024-03-15 08:30:18.699349+00:00,120.208757
15,2024-03-15 08:30:18.799167+00:00,120.6596
16,2024-03-15 08:30:18.900551+00:00,120.273128
17,2024-03-15 08:30:18.999304+00:00,120.118659
18,2024-03-15 08:30:19.100130+00:00,120.260253
19,2024-03-15 08:30:19.200850+00:00,119.964259
20,2024-03-15 08:30:19.300835+00:00,119.79707
21,2024-03-15 08:30:19.400203+00:00,120.080053
22,2024-03-15 08:30:19.499965+00:00,120.492076
23,2024-03-15 08:30:19.600144+00:00,120.092921
24,2024-03-15 08:30:19.700155+00:00,119.373028
25,2024-03-15 08:30:19.800149+00:00,120.904589
26,2024-03-15 08:30:19.899920+00:00,120.067185
27,2024-03-15 08:30:19.999896+00:00,120.080053
28,2024-03-15 08:30:20.100068+00:00,119.92567
29,2024-03-15 08:30:20.200165+00:00,119.668518
30,2024-03-15 08:30:20.298871+00:00,164.787382
31,2024-03-15 08:30:20.399333+00:00,120.556499
32,2024-03-15 08:30:20.499992+00:00,120.401904
33,2024-03-15 08:30:20.600230+00:00,119.899946
34,2024-03-15 08:30:20.699131+00:00,120.04145
35,2024-03-15 08:30:20.798793+00:00,120.363266
36,2024-03-15 08:30:20.900063+00:00,119.552861
37,2024-03-15 08:30:20.999827+00:00,119.771356
38,2024-03-15 08:30:21.100358+00:00,120.376145
39,2024-03-15 08:30:21.199654+00:00,118.475262
40,2024-03-15 08:30:21.299926+00:00,120.556499
41,2024-03-15 08:30:21.399644+00:00,120.543613
42,2024-03-15 08:30:21.499613+00:00,119.977123
