,time,RfPower
0,2024-03-15 08:30:17.290721+00:00,1.531751
1,2024-03-15 08:30:17.390888+00:00,1.531751
2,2024-03-15 08:30:17.490789+00:00,1.531751
3,2024-03-15 08:30:17.591073+00:00,1.531751
4,2024-03-15 08:30:17.691024+00:00,1.531751
5,2024-03-15 08:30:17.790880+00:00,1.531751
6,2024-03-15 08:30:17.890676+00:00,1.531751
7,2024-03-15 08:30:17.990716+00:00,1.531751
8,2024-03-15 08:30:18.090674+00:00,1.531751
9,2024-03-15 08:30:18.209736+00:00,1.535042
10,2024-03-15 08:30:18.290383+00:00,1.535042
11,2024-03-15 08:30:18.391551+00:00,1.535042
12,2024-03-15 08:30:18.490818+00:00,1.535042
13,2024-03-15 08:30:18.591591+00:00,1.535042
14,2024-03-15 08:30:18.690669+00:00,1.535042
15,2024-03-15 08:30:18.796666+00:00,1.535042
16,2024-03-15 08:30:18.891206+00:00,1.535042
17,2024-03-15 08:30:18.990704+00:00,1.535042
18,2024-03-15 08:30:19.090841+00:00,1.535042
19,2024-03-15 08:30:19.190709+00:00,1.535042
20,2024-03-15 08:30:19.290619+00:00,1.535042
21,2024-03-15 08:30:19.390712+00:00,1.535042
22,2024-03-15 08:30:19.490291+00:00,1.535042
23,2024-03-15 08:30:19.590967+00:00,1.535042
24,2024-03-15 08:30:19.690612+00:00,1.535042
25,2024-03-15 08:30:19.790960+00:00,1.535042
26,2024-03-15 08:30:19.890933+00:00,1.535042
27,2024-03-15 08:30:19.990844+00:00,1.535042
28,2024-03-15 08:30:20.091138+00:00,1.535042
29,2024-03-15 08:30:20.190800+00:00,1.535042
30,2024-03-15 08:30:20.299444+00:00,1.531526
31,2024-03-15 08:30:20.390954+00:00,1.531526
32,2024-03-15 08:30:20.490277+00:00,1.531526
33,2024-03-15 08:30:20.590329+00:00,1.531526
34,2024-03-15 08:30:20.690640+00:00,1.531526
35,2024-03-15 08:30:20.791156+00:00,1.531526
36,2024-03-15 08:30:20.891098+00:00,1.531526
37,2024-03-15 08:30:20.990571+00:00,1.531526
38,2024-03-15 08:30:21.090507+00:00,1.531526
39,2024-03-15 08:30:21.190859+00:00,1.531526
40,2024-03-15 08:30:21.290896+00:00,1.531526
41,2024-03-15 08:30:21.390264+00:00,1.531526
42,2024-03-15 08:30:21.490629+00:00,1.531526
43,2024-03-15 08:30:21.590817+00:00,1.531526
44,2024-03-15 08:30:21.690840+00:00,1.531526
45,2024-03-15 08:30:21.790318+00:00,1.531526
46,2024-03-15 08:30:21.890684+00:00,1.531526
47,2024-03-15 08:30:21.990462+00:00,1.531526
48,2024-03-15 08:30:22.090842+00:00,1.531526
49,2024-03-15 08:30:22.190911+00:00,1.531526
50,2024-03-15 08:30:22.290704+00:00,1.531526
51,2024-03-15 08:30:22.390816+00:00,1.531526
52,2024-03-15 08:30:22.490525+00:00,1.531526
53,2024-03-15 08:30:22.590804+00:00,1.531526
54,2024-03-15 08:30:22.690424+00:00,1.534713
55,2024-03-15 08:30:22.790608+00:00,1.534713
56,2024-03-15 08:30:22.890259+00:00,1.534713
57,2024-03-15 08:30:22.990402+00:00,1.534713
